address;webSite;helpPhone;dimensions;coordinates
улица Скульптора Мухиной, дом 7;novo-peredelkino.mos.ru;+7 (495) 733-05-05;площадь (кв. м): 360;{type=Point, coordinates=[37.34353405618256, 55.63910418779676]}
улица Шолохова, дом 28 ;novo-peredelkino.mos.ru;+7 (495) 733-05-05;площадь (кв. м): 315;{type=Point, coordinates=[37.345989745458496, 55.64374851668909]}
Планетная улица, дом 29;aeroport.mos.ru/;+7 (499) 747-71-55;площадь (кв. м): 264;{type=Point, coordinates=[37.54409525591459, 55.80231143400058]}
улица Скульптора Мухиной, дом 7;novo-peredelkino.mos.ru;+7 (495) 733-05-05;площадь (кв. м): 967;{type=Point, coordinates=[37.34372985744065, 55.63917852557486]}
Боровское шоссе, дом 44 ;novo-peredelkino.mos.ru/;+7 (495) 733-05-05;площадь (кв. м): 297;{type=Point, coordinates=[37.346945689077295, 55.63675771760416]}
3-я Тверская-Ямская улица, дом 15;tveruprava.mos.ru;+7 (499) 250-38-84;площадь (кв. м): 408;{type=Point, coordinates=[37.597183049724364, 55.77179954340936]}
Тихвинская улица, дом 3 ;tveruprava.mos.ru/;+7 (499) 250-38-84;площадь (кв. м): 330;{type=Point, coordinates=[37.600428141395135, 55.78565174246172]}
Новоорловская улица, дом 10 ;novo-peredelkino.mos.ru;+7 (495) 733-05-05;площадь (кв. м): 459;{type=Point, coordinates=[37.361909574550594, 55.637112113533085]}
Новоорловская улица, дом 8 ;novo-peredelkino.mos.ru;+7 (495) 733-05-05;площадь (кв. м): 435.2;{type=Point, coordinates=[37.36071762162682, 55.63889428299756]}
Старокирочный переулок, дом 14;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 460;{type=Point, coordinates=[37.68340267507786, 55.76814168430574]}
Чертановская улица, дом 3 ;chertanovo-severnoe.mos.ru/;+7 (495) 315-50-36;площадь (кв. м): 552.1;{type=Point, coordinates=[37.60506489313993, 55.632049779394016]}
улица Адмирала Макарова, дом 11;voykovsky.mos.ru/;+7 (499) 156-20-02;площадь (кв. м): 399;{type=Point, coordinates=[37.493740197406, 55.82801198595436]}
Булатниковский проезд, дом 10 ;gbu-bz.ru;+7 (495) 384-05-00;площадь (кв. м): 427;{type=Point, coordinates=[37.65490536479866, 55.58710324001882]}
Шоссейная улица, дом 18;pechatniki.mos.ru;+7 (495) 354-28-08;площадь (кв. м): 403;{type=Point, coordinates=[37.72285617421014, 55.68777906033515]}
9-я Парковая улица, дом 6 ;v-izm.mos.ru;+7 (499) 463-62-09;площадь (кв. м): 373;{type=Point, coordinates=[37.802348536337476, 55.79045396308533]}
проспект Мира, дом 182;alekseevsky.mos.ru;+7 (495) 683-43-00;площадь (кв. м): 353;{type=Point, coordinates=[37.64744319845996, 55.82511658496763]}
Коровинское шоссе, дом 8 ;beskudnikovo.mos.ru;+7 (499) 480-04-03;площадь (кв. м): 338;{type=Point, coordinates=[37.53855423714578, 55.87087444166641]}
Новокосинская улица, дом 10 ;novokosino.mos.ru;+7 (495) 701-44-65;площадь (кв. м): 984;{type=Point, coordinates=[37.8570261421606, 55.734841934246205]}
город Зеленоград, ;krukovo.gbuzelao.ru;+7 (499) 717-75-10;площадь (кв. м): 420;{type=Point, coordinates=[37.1719011083536, 55.972288146165496]}
улица Бориса Галушкина, дом 17;alekseevsky.mos.ru;+7 (495) 682-45-94;площадь (кв. м): 534;{type=Point, coordinates=[37.659995486954934, 55.82361145700272]}
Сельскохозяйственная улица, дом 26 ;iskra-sport.ru;+7 (499) 181-36-14;площадь (кв. м): 800;{type=Point, coordinates=[37.63884701332148, 55.838790044976534]}
5-я Парковая улица, дом 48;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 201;{type=Point, coordinates=[37.78902700822266, 55.80106284654388]}
улица Красного Маяка, дом 8 ;www.gbuchc.ru;+7 (495) 316-73-66;площадь (кв. м): 447.5;{type=Point, coordinates=[37.59779551823784, 55.614445789096244]}
Прудовой проезд, дом 10;ostankino.mos.ru;+7 (495) 615-96-60;площадь (кв. м): 250;{type=Point, coordinates=[37.616736952287454, 55.815040951336364]}
Верхняя Первомайская улица, дом 6 ;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 230;{type=Point, coordinates=[37.78687876829429, 55.798198031072246]}
Мартеновская улица, дом 4;perovo.mos.ru;+7 (499) 553-90-96;площадь (кв. м): 335.8;{type=Point, coordinates=[37.804388341926064, 55.75942393144474]}
улица Молостовых, дом 12;ivanovskoe.mos.ru;+7 (495) 918-98-44;площадь (кв. м): 744;{type=Point, coordinates=[37.83057720613127, 55.75593461035922]}
улица Нижняя Масловка, дом 5;begovoy.mos.ru;+7 (495) 614-78-91;площадь (кв. м): 239;{type=Point, coordinates=[37.58303626507551, 55.79130103940325]}
Первомайская улица, дом 119;v-izm.mos.ru;+7 (499) 463-62-09;площадь (кв. м): 450;{type=Point, coordinates=[37.82044792707772, 55.79431198288572]}
Первомайская улица, дом 3;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 240;{type=Point, coordinates=[37.77196122005817, 55.79103970646636]}
проезд Берёзовой Рощи, дом 3 ;gbu-zhilishnik-horoshevsky.ru;+7 (495) 940-08-83;площадь (кв. м): 300;{type=Point, coordinates=[37.518836175176084, 55.78671401476265]}
Измайловский проезд, дом 20 ;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 763;{type=Point, coordinates=[37.77101701375182, 55.799132937043346]}
Первомайская улица, дом 113;v-izm.mos.ru;+7 (499) 463-62-09;площадь (кв. м): 190;{type=Point, coordinates=[37.815696, 55.79434]}
улица Конёнкова, дом 4;bibirevo.mos.ru;+7 (495) 533-00-22;площадь (кв. м): 541.2;{type=Point, coordinates=[37.604539265555665, 55.88750036970315]}
улица Плющева, дом 10 ;perovo.mos.ru;+7 (499) 553-90-96;площадь (кв. м): 257;{type=Point, coordinates=[37.7594353818881, 55.744536434564445]}
Суздальская улица, дом 26 ;novokosino.mos.ru;+7 (495) 701-44-65;площадь (кв. м): 600;{type=Point, coordinates=[37.86179689666677, 55.742633124537356]}
2-я Новоостанкинская улица, дом 17;ostankino.mos.ru;+7 (495) 615-96-60;площадь (кв. м): 1269;{type=Point, coordinates=[37.62317138027477, 55.81546371618915]}
Ореховый бульвар, дом 67 ;zyablikovo.mos.ru;+7 (495) 396-15-76;площадь (кв. м): 800;{type=Point, coordinates=[37.759864770754845, 55.61833614881278]}
9-я Парковая улица, дом 43/26;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 544;{type=Point, coordinates=[37.797552527220404, 55.80210938024719]}
проспект Мира, владение 108А;alekseevsky.mos.ru;+7 (495) 682-45-94;площадь (кв. м): 407;{type=Point, coordinates=[37.63761752098045, 55.80387127972121]}
Чоботовская улица, дом 3;novo-peredelkino.mos.ru;+7 (495) 733-05-05;площадь (кв. м): 454;{type=Point, coordinates=[37.35401877084827, 55.64222860905126]}
3-я Филёвская улица, дом 6 ;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 648;{type=Point, coordinates=[37.5002179806833, 55.738222080303416]}
Снежная улица, дом 17 ;sviblovo.mos.ru;+7 (499) 180-69-32;площадь (кв. м): 600;{type=Point, coordinates=[37.64693934732706, 55.853724972903755]}
Ясногорская улица, дом 17 ;yasenevo.mos.ru;+7 (495) 422-02-33;площадь (кв. м): 405;{type=Point, coordinates=[37.533845675367246, 55.601376302086926]}
Первомайская улица, дом 35/18;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 630;{type=Point, coordinates=[37.78400241852797, 55.79322133198289]}
Чертановская улица, дом 21 ;www.gbuchc.ru/;+7 (495) 316-73-66;площадь (кв. м): 527;{type=Point, coordinates=[37.59560746050268, 55.6202966657888]}
Первомайская улица, дом 7 ;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 300;{type=Point, coordinates=[37.77459312898975, 55.7918081509339]}
Валдайский проезд, дом 13А, ;levoberezhny.mos.ru/;+7 (495) 456-10-01;площадь (кв. м): 405;{type=Point, coordinates=[37.46485393177112, 55.8703366838861]}
Городецкая улица, дом 9 ;novokosino.mos.ru;+7 (495) 701-44-65;площадь (кв. м): 480;{type=Point, coordinates=[37.868788731373286, 55.74012854701387]}
проезд Одоевского, дом 11 ;yasenevo.mos.ru;+7 (495) 422-02-33;площадь (кв. м): 925;{type=Point, coordinates=[37.51476248036076, 55.59906224216887]}
Боровское шоссе, дом 47;novo-peredelkino.mos.ru/;+7 (495) 733-05-05;площадь (кв. м): 381.3;{type=Point, coordinates=[37.356081832015974, 55.63841785734438]}
5-я Парковая улица, дом 33;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 810;{type=Point, coordinates=[37.787281290894526, 55.79805689892639]}
16-я Парковая улица, дом 25 ;v-izm.mos.ru;+7 (499) 463-62-09;площадь (кв. м): 611.2;{type=Point, coordinates=[37.82800245143964, 55.80100786151368]}
13-я Парковая улица, дом 28 ;sevizm.mos.ru;+7 (495) 652-09-68;площадь (кв. м): 252;{type=Point, coordinates=[37.814967892465255, 55.804855448185265]}
3-я Парковая улица, дом 42 ;sevizm.mos.ru;+7 (495) 652-09-68;площадь (кв. м): 350;{type=Point, coordinates=[37.78350505460107, 55.80363140465692]}
улица Молодцова, дом 17 ;medvedkovo-juzhnoe.mos.ru;+7 (499) 473-95-18;площадь (кв. м): 800.1;{type=Point, coordinates=[37.632979909795196, 55.87793264841076]}
6-я Парковая улица, дом 19;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 400;{type=Point, coordinates=[37.78958127324297, 55.79226307519052]}
Щербаковская улица, дом 58;mosg.ru;+7 (499) 785-02-91;площадь (кв. м): 536;{type=Point, coordinates=[37.74070642305185, 55.782241696740975]}
1-я улица Машиностроения, дом 4 ;uzhnoport.mos.ru;+7 (495) 958-98-64;площадь (кв. м): 520;{type=Point, coordinates=[37.67051958458777, 55.71239979296248]}
Октябрьская улица, дом 19;marina-roscha.mos.ru;+7 (495) 602-60-59;площадь (кв. м): 228.3;{type=Point, coordinates=[37.61296173793034, 55.78779658301431]}
улица Красный Казанец, дом 3 ;veshnyaki.mos.ru;+7 (495) 770-09-42;площадь (кв. м): 374.5;{type=Point, coordinates=[37.8036721923528, 55.724643164565535]}
Щербаковская улица, дом 20;mosg.ru;+7 (499) 785-02-91;площадь (кв. м): 800;{type=Point, coordinates=[37.726613028988524, 55.78143346415969]}
Каргопольская улица, дом 18;otradnoe.mos.ru;+7 (499) 907-21-08;площадь (кв. м): 383;{type=Point, coordinates=[37.594888374118185, 55.86476205904213]}
3-я Парковая улица, дом 63;sevizm.mos.ru;+7 (495) 652-09-68;площадь (кв. м): 400;{type=Point, coordinates=[37.78059800426649, 55.80827267808866]}
проспект Мира, дом 122;alekseevsky.mos.ru;+7 (495) 682-45-94;площадь (кв. м): 397;{type=Point, coordinates=[37.64010275094852, 55.81300892515465]}
улица Бестужевых, дом 3Б;otradnoe.mos.ru;+7 (495) 708-44-69;площадь (кв. м): 467.4;{type=Point, coordinates=[37.595914175350956, 55.87003026451649]}
Лосевская улица, дом 1 ;yaroslavsky.mos.ru;+7 (495) 656-16-11;площадь (кв. м): 295;{type=Point, coordinates=[37.70931862741382, 55.87336980830729]}
9-я Парковая улица, дом 1 ;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 400;{type=Point, coordinates=[37.79774698208593, 55.789162572646525]}
Старомарьинское шоссе, дом 16;marina-roscha.mos.ru;+7 (495) 602-60-59;площадь (кв. м): 450;{type=Point, coordinates=[37.61400982886087, 55.80555955764526]}
3-й Михалковский переулок, дом 20 ;gbu-koptevo.ru;+7 (495) 450-41-93;площадь (кв. м): 181.5;{type=Point, coordinates=[37.526715517578985, 55.83766183685265]}
16-я Парковая улица, дом 43 ;sevizm.mos.ru;+7 (495) 652-09-68;площадь (кв. м): 240;{type=Point, coordinates=[37.82797640823928, 55.80756906525613]}
15-я Парковая улица, дом 18 ;v-izm.mos.ru;+7 (499) 463-62-09;площадь (кв. м): 345.9;{type=Point, coordinates=[37.82057930841629, 55.79612990811317]}
1-я Парковая улица, дом 7А, ;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 400;{type=Point, coordinates=[37.776465164942934, 55.789415985996946]}
Беломорская улица, дом 5 ;levoberezhny.mos.ru;+7 (495) 456-10-01;площадь (кв. м): 600;{type=Point, coordinates=[37.47085896888493, 55.86508994107349]}
11-я Парковая улица, дом 44 ;sevizm.mos.ru;+7 (495) 652-09-68;площадь (кв. м): 405;{type=Point, coordinates=[37.80606886581145, 55.80473353437103]}
проезд Шокальского, дом 57 ;smedvedkovo.mos.ru;+7 (499) 476-77-86;площадь (кв. м): 1445;{type=Point, coordinates=[37.66299865391362, 55.8835792839889]}
улица Чёрное Озеро, дом 1;kosino-uhtomski.mos.ru;+7 (499) 721-12-59;площадь (кв. м): 350;{type=Point, coordinates=[37.859874518442396, 55.71707972284725]}
Норильская улица, дом 3;losinka.mos.ru/;+7 (499) 185-99-38;площадь (кв. м): 576;{type=Point, coordinates=[37.69385646627886, 55.87667129233273]}
Ленская улица, дом 23;babushkinsky.mos.ru;+7 (495) 471-11-70;площадь (кв. м): 151;{type=Point, coordinates=[37.65480740870621, 55.867055338818716]}
Огородный проезд, дом 17;dez-butyrskiy.ru;+7 (495) 610-42-01;площадь (кв. м): 470;{type=Point, coordinates=[37.59823113004373, 55.81505355403421]}
Задонский проезд, дом 24 ;zyablikovo.mos.ru;+7 (495) 396-15-76;площадь (кв. м): 600;{type=Point, coordinates=[37.75402554024605, 55.622021219084026]}
Голубинская улица, дом 29 ;yasenevo.mos.ru;+7 (495) 422-02-33;площадь (кв. м): 600;{type=Point, coordinates=[37.54396026067657, 55.59826265643379]}
Челобитьевское шоссе, дом 14 ;severny.mos.ru;+7 (499) 767-66-44;площадь (кв. м): 240;{type=Point, coordinates=[37.55324939743601, 55.912947073807636]}
Большая Черкизовская улица, дом 22 ;preobr.mos.ru;+7 (499) 161-31-61;площадь (кв. м): 800;{type=Point, coordinates=[37.73357000997113, 55.795050069399124]}
Вагоноремонтная улица, дом 13;dmitrovskiy.mos.ru;+7 (495) 486-71-20;площадь (кв. м): 800;{type=Point, coordinates=[37.532416766763255, 55.89775341513724]}
Сельскохозяйственная улица, дом 18 ;rostokino.mos.ru/;+7 (495) 602-85-34;площадь (кв. м): 364;{type=Point, coordinates=[37.64341298402194, 55.839755234125]}
Алтуфьевское шоссе, дом 60;gbualtuf.ru;+7 (499) 902-22-20;площадь (кв. м): 557;{type=Point, coordinates=[37.58855735834704, 55.88308212186983]}
Полярная улица, дом 56 ;smedvedkovo.mos.ru;+7 (499) 476-77-86;площадь (кв. м): 210;{type=Point, coordinates=[37.64815949089477, 55.89246429005156]}
Востряковский проезд, дом 25 ;gbu-bz.ru;+7 (495) 384-05-00;площадь (кв. м): 753;{type=Point, coordinates=[37.659188970702765, 55.57640247406919]}
Широкая улица, дом 3 ;smedvedkovo.mos.ru;+7 (499) 476-77-86;площадь (кв. м): 186;{type=Point, coordinates=[37.653305117498384, 55.890216405182116]}
бульвар Матроса Железняка, дом 31 ;gbu-koptevo.ru;+7 (495) 450-41-93;площадь (кв. м): 300;{type=Point, coordinates=[37.52947675263974, 55.83678432381639]}
улица 800-летия Москвы, дом 2 ;dmitrovskiy.mos.ru/;+7 (495) 486-71-20;площадь (кв. м): 204.9;{type=Point, coordinates=[37.532244558077196, 55.87516755120776]}
Комсомольский проспект, дом 13;gbu-hamovniki.ru;+7 (499) 242-52-04;площадь (кв. м): 377;{type=Point, coordinates=[37.58957703382849, 55.72974741561615]}
улица Маршала Захарова, дом 10 ;sevorehovo-borisovo.mos.ru;+7 (495) 394-01-36;площадь (кв. м): 240;{type=Point, coordinates=[37.69953044658743, 55.62382680229336]}
улица Милашенкова, дом 3 ;dez-butyrskiy.ru;+7 (495) 610-42-01;площадь (кв. м): 273;{type=Point, coordinates=[37.586190294303876, 55.82219093536087]}
улица Мусы Джалиля, дом 32 ;zyablikovo.mos.ru;+7 (495) 396-15-76;площадь (кв. м): 406;{type=Point, coordinates=[37.7418722698124, 55.61882889703333]}
улица Руднёвка, дом 12;kosino-uhtomski.mos.ru;+7 (499) 721-12-59;площадь (кв. м): 200;{type=Point, coordinates=[37.891650583175256, 55.71562832169417]}
Дегунинская улица, дом 3 ;gbuzdegunino.ru;+7 (499) 488-99-54;площадь (кв. м): 304;{type=Point, coordinates=[37.53637559709077, 55.86403330607268]}
Широкая улица, дом 1 ;smedvedkovo.mos.ru;+7 (499) 476-77-86;площадь (кв. м): 450;{type=Point, coordinates=[37.64858951435886, 55.88880432529491]}
улица Цюрупы, дом 17;mcherem.ru;+7 (495) 332-13-11;площадь (кв. м): 665.6;{type=Point, coordinates=[37.56625141423665, 55.66660193488655]}
Петровско-Разумовский проезд, дом 12;gbu-savelovskiy.ru/;+7 (495) 950-57-86;площадь (кв. м): 262.2;{type=Point, coordinates=[37.57007864061138, 55.79553172730248]}
улица Лихоборские Бугры, дом 4 ;gbu-koptevo.ru;+7 (495) 450-41-93;площадь (кв. м): 300;{type=Point, coordinates=[37.54991568287262, 55.8424627757351]}
улица Санникова, дом 7;otradnoe.mos.ru;+7 (495) 708-44-69;площадь (кв. м): 480;{type=Point, coordinates=[37.595404131142715, 55.86111797462207]}
3-й Лихачёвский переулок, дом 7 ;nashe-golovino.ru;+7 (495) 456-06-81;площадь (кв. м): 570;{type=Point, coordinates=[37.51647041621776, 55.84998936332858]}
9-я Парковая улица, дом 41А;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 375;{type=Point, coordinates=[37.79599888177694, 55.801301346570796]}
Изумрудная улица, дом 26;losinka.mos.ru/;+7 (499) 185-99-38;площадь (кв. м): 707.5;{type=Point, coordinates=[37.68701430744194, 55.87231100886901]}
Ходынский бульвар, дом 17 ;gbu-zhilishnik-horoshevsky.ru;+7 (495) 940-08-83;площадь (кв. м): 392;{type=Point, coordinates=[37.52061008465576, 55.787506553195485]}
3-й Новомихалковский проезд, дом 13;gbu-koptevo.ru;+7 (495) 450-41-93;площадь (кв. м): 550;{type=Point, coordinates=[37.534871804893434, 55.83972803250502]}
проезд Нансена, дом 3;sviblovo.mos.ru;+7 (499) 180-69-32;площадь (кв. м): 507.6;{type=Point, coordinates=[37.6508468368128, 55.849716807823526]}
Карельский бульвар, дом 5;dmitrovsky.ru;+7 (495) 486-71-20;площадь (кв. м): 344.5;{type=Point, coordinates=[37.53356400614059, 55.89404173022371]}
улица Усиевича, дом 16;aeroport.mos.ru;+7 (499) 747-71-55;площадь (кв. м): 760;{type=Point, coordinates=[37.52436836980149, 55.80725929743888]}
улица Седова, дом 8 ;sviblovo.mos.ru;+7 (499) 180-69-32;площадь (кв. м): 580;{type=Point, coordinates=[37.64145932901123, 55.854117109015945]}
Эльдорадовский переулок, дом 5;aeroport.mos.ru/;+7 (499) 151-47-23;площадь (кв. м): 770;{type=Point, coordinates=[37.546690625449486, 55.8001647386761]}
Федоскинская улица, дом 6;yaroslavsky.mos.ru;+7 (495) 656-16-07;площадь (кв. м): 150;{type=Point, coordinates=[37.70364064799722, 55.869568668436884]}
Днепропетровская улица, дом 7 ;www.gbuchc.ru;+7 (495) 316-73-66;площадь (кв. м): 365;{type=Point, coordinates=[37.59746934450236, 55.62200731277177]}
Уральская улица, дом 6 ;www.gbugol.com;+7 (495) 467-65-84;площадь (кв. м): 400;{type=Point, coordinates=[37.80036800871225, 55.81334921785946]}
Дегунинская улица, дом 13 ;gbuzdegunino.ru;+7 (499) 488-99-54;площадь (кв. м): 180;{type=Point, coordinates=[37.5321356432464, 55.865200674713414]}
Флотская улица, дом 74;nashe-golovino.ru;+7 (495) 456-06-81;площадь (кв. м): 528;{type=Point, coordinates=[37.514395087115275, 55.858100568514494]}
Бескудниковский переулок, дом 1 ;beskudnikovo.mos.ru;+7 (499) 480-04-03;площадь (кв. м): 448;{type=Point, coordinates=[37.55530898909378, 55.864523615399506]}
улица Авиаконструктора Микояна, дом 14 ;khoroshevskiy.mos.ru;+7 (499) 195-41-38;площадь (кв. м): 218;{type=Point, coordinates=[37.52641811297375, 55.792894936107594]}
улица Преображенский Вал, дом 24 ;preobr.mos.ru;+7 (499) 161-31-61;площадь (кв. м): 441;{type=Point, coordinates=[37.71539205932556, 55.78983981730721]}
Новокосинская улица, дом 12 ;novokosino.mos.ru;+7 (495) 701-44-65;площадь (кв. м): 580.5;{type=Point, coordinates=[37.857184197339954, 55.73601742188458]}
улица Вавилова, дом 91 ;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 600;{type=Point, coordinates=[37.547581112499124, 55.67815543645254]}
Краснополянская улица, дом 6 ;gbuzdegunino.ru;+7 (499) 488-99-54;площадь (кв. м): 450;{type=Point, coordinates=[37.49171822751295, 55.884798488835756]}
Флотская улица, дом 28 ;nashe-golovino.ru;+7 (495) 456-06-81;площадь (кв. м): 505;{type=Point, coordinates=[37.48738546373716, 55.849150280163144]}
Октябрьская улица, дом 38 ;marina-roscha.mos.ru;+7 (495) 602-60-59;площадь (кв. м): 660.1;{type=Point, coordinates=[37.61434526281336, 55.79050909325472]}
Фестивальная улица, дом 4;levoberezhny.mos.ru/;+7 (495) 456-10-01;площадь (кв. м): 899.8;{type=Point, coordinates=[37.48571415192989, 55.855131376267785]}
Зеленоградская улица, дом 19 ;khovrino.mos.ru/;+7 (495) 456-03-60;площадь (кв. м): 800;{type=Point, coordinates=[37.49810682413286, 55.87170997931229]}
Вешняковская улица, дом 8 ;veshnyaki.su;+7 (495) 770-09-42;площадь (кв. м): 1000;{type=Point, coordinates=[37.82635516353667, 55.735895391732974]}
Ольховская улица, дом 45 ;krasnoselsky.mos.ru/;+7 (499) 264-02-48;площадь (кв. м): 150;{type=Point, coordinates=[37.672747, 55.777727]}
Профсоюзная улица, дом 48 ;mcherem.ru;+7 (495) 332-13-11;площадь (кв. м): 350;{type=Point, coordinates=[37.554313354626665, 55.672906555901555]}
улица Лихоборские Бугры, дом 10 ;gbu-koptevo.ru;+7 (495) 450-41-93;площадь (кв. м): 435;{type=Point, coordinates=[37.550009845281096, 55.84430454782479]}
Лазоревый проезд, дом 4;sviblovo.mos.ru;+7 (499) 180-69-32;площадь (кв. м): 403.2;{type=Point, coordinates=[37.63715711859538, 55.850130482098095]}
Открытое шоссе, дом 2 ;preobr.mos.ru;+7 (499) 161-31-61;площадь (кв. м): 349.5;{type=Point, coordinates=[37.72913250828845, 55.80709872605486]}
2-я Филёвская улица, дом 8;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 390;{type=Point, coordinates=[37.493534611114484, 55.736888696373676]}
2-я Пугачёвская улица, дом 8 ;preobr.mos.ru;+7 (499) 161-31-61;площадь (кв. м): 407.5;{type=Point, coordinates=[37.72472438458409, 55.79395884048528]}
улица Конёнкова, дом 5;bibirevo.mos.ru;+7 (495) 533-00-22;площадь (кв. м): 544;{type=Point, coordinates=[37.60265366592587, 55.889499432598384]}
улица Маршала Федоренко, дом 8 ;gbuzdegunino.ru;+7 (499) 488-99-54;площадь (кв. м): 415.5;{type=Point, coordinates=[37.49371934716371, 55.881034254391444]}
Пулковская улица, дом 4 ;nashe-golovino.ru;+7 (495) 456-06-81;площадь (кв. м): 800;{type=Point, coordinates=[37.48412347118712, 55.84378165805727]}
Лобненская улица, дом 15 ;dmitrovskiy.mos.ru;+7 (495) 486-71-20;площадь (кв. м): 459;{type=Point, coordinates=[37.52611147643844, 55.8908860212648]}
проезд Черепановых, дом 32;gbu-koptevo.ru;+7 (495) 450-41-93;площадь (кв. м): 200;{type=Point, coordinates=[37.528495584919, 55.84076937841201]}
Востряковский проезд, дом 17 ;gbu-bz.ru;+7 (495) 384-05-00;площадь (кв. м): 766;{type=Point, coordinates=[37.649078862812594, 55.575464765118426]}
Хорошёвское шоссе, дом 68 ;gbu-zhilishnik-horoshevsky.ru;+7 (495) 940-08-83;площадь (кв. м): 450;{type=Point, coordinates=[37.52654050494228, 55.77893983974717]}
Лихоборская набережная, дом 2 ;nashe-golovino.ru;+7 (495) 456-06-81;площадь (кв. м): 300;{type=Point, coordinates=[37.521044492000016, 55.85217095356639]}
улица Софьи Ковалевской, дом 2 ;dmitrovskiy.mos.ru/;+7 (495) 486-71-20;площадь (кв. м): 209;{type=Point, coordinates=[37.53597359540227, 55.878372729952936]}
улица Гризодубовой, дом 2;gbu-zhilishnik-horoshevsky.ru;+7 (495) 940-08-83;площадь (кв. м): 432;{type=Point, coordinates=[37.53171874106978, 55.78305870453201]}
улица Нижняя Масловка, дом 14;gbu-savelovskiy.ru/;+7 (495) 950-57-86;площадь (кв. м): 308.9;{type=Point, coordinates=[37.5759041765493, 55.792688182143]}
Онежская улица, дом 18;nashe-golovino.ru;+7 (495) 456-06-81;площадь (кв. м): 264;{type=Point, coordinates=[37.521195072035724, 55.850448409746356]}
Кронштадтский бульвар, дом 17 ;nashe-golovino.ru;+7 (495) 456-06-81;площадь (кв. м): 450;{type=Point, coordinates=[37.49355729687827, 55.844328264228565]}
Енисейская улица, дом 28 ;babushkinsky.mos.ru;+7 (495) 471-11-70;площадь (кв. м): 264;{type=Point, coordinates=[37.667921110700604, 55.87128823055085]}
Дубнинская улица, дом 24 ;vost-degunino.mos.ru;+7 (499) 900-46-77;площадь (кв. м): 276;{type=Point, coordinates=[37.563357458999604, 55.872998091090004]}
Южнобутовская улица, дом 49;ubutovo.mos.ru;+7 (495) 712-70-11;площадь (кв. м): 186;{type=Point, coordinates=[37.53314935605454, 55.536514798519114]}
Борисовский проезд, дом 9 ;sevorehovo-borisovo.mos.ru;+7 (495) 394-01-36;площадь (кв. м): 273;{type=Point, coordinates=[37.72107243003441, 55.627188339297525]}
улица Пестеля, дом 2;otradnoe.mos.ru;+7 (495) 708-44-69;площадь (кв. м): 550;{type=Point, coordinates=[37.61549908204072, 55.86252833212508]}
Днепропетровская улица, дом 5 ;www.gbuchc.ru/;+7 (495) 316-73-66;площадь (кв. м): 363;{type=Point, coordinates=[37.600682810315696, 55.62035880273371]}
Венёвская улица, дом 7;ubutovo.mos.ru;+7 (495) 712-70-11;площадь (кв. м): 492.8;{type=Point, coordinates=[37.5466551746646, 55.54731713017669]}
Абрамцевская улица, дом 9 ;lianozovo.mos.ru;+7 (499) 908-80-79;площадь (кв. м): 640;{type=Point, coordinates=[37.57056803632426, 55.90473977542772]}
Саянская улица, дом 11 ;ivanovskoe.mos.ru;+7 (495) 918-98-44;площадь (кв. м): 450;{type=Point, coordinates=[37.83477210777722, 55.767784909846206]}
Алтуфьевское шоссе, дом 40;otradnoe.mos.ru;+7 (495) 708-44-69;площадь (кв. м): 180;{type=Point, coordinates=[37.58793966954296, 55.871628101056594]}
Сумская улица, дом 8 ;gbu-chs.ru/;+7 (495) 315-50-36;площадь (кв. м): 543.9;{type=Point, coordinates=[37.60346124819473, 55.625783646432026]}
Домодедовская улица, дом 8;sevorehovo-borisovo.mos.ru;+7 (495) 343-43-31;площадь (кв. м): 464.2;{type=Point, coordinates=[37.704603006876745, 55.614713225549586]}
город Зеленоград, ;silino.mos.ru;+7 (499) 731-77-78;площадь (кв. м): 750;{type=Point, coordinates=[37.17814458054773, 55.9881852960357]}
улица Адмирала Лазарева, дом 16;ubutovo.mos.ru;+7 (495) 712-70-11;площадь (кв. м): 345.8;{type=Point, coordinates=[37.536068984672305, 55.54632124969508]}
Венёвская улица, дом 1;ubutovo.mos.ru;+7 (495) 712-70-11;площадь (кв. м): 540;{type=Point, coordinates=[37.54558415970697, 55.54889541344306]}
